signal_id,created_at,symbol,side,price,score,entry,stop,tp1,tp2,rr1,rr2,turnover24h_m,change24h_pct,funding_pct,btc_regime,btc_score_delta,oi_change_pct,price_change_oi_window_pct,oi_score_delta,oi_signal,reason,selected,manual_comment,smc_score_delta,smc_bias,smc_event,smc_zone,smc_reason
20260518_090230_1000PEPEUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,1000PEPEUSDT,short,0.003653,6,0.00364569 - 0.00367126,0.00428431,0.003538,0.00239037,0.18,2.0,97.5,-3.18,0.01,BTC 4H structure broken,2,13.04,-8.72,1,price down + OI up: short confirmation,"4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, OI confirms",,,,,,,
20260518_090230_BILLUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,BILLUSDT,short,0.14477,6,0.14448046 - 0.14549385,0.238185,0.12802,-0.04206,0.18,2.0,72.2,10.35,-0.0038,BTC 4H structure broken,2,8.76,-21.91,1,price down + OI up: short confirmation,"4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, OI confirms",,,,,,,
20260518_090230_BTCUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,BTCUSDT,short,76898.6,5,76744.8028 - 77283.093,82408.995,76659.1,65877.81,0.04,2.0,3794.7,-1.56,0.0066,BTC 4H structure broken,2,-2.28,-2.92,0,OI neutral,"4H below EMA50, near resistance, too close to support, BTC supportive for short, RR2 >= 2, funding ok",,,,,,,
20260518_090230_ETHUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,ETHUSDT,short,2119.5,5,2115.261 - 2130.0975,2334.28335,2082.46,1689.9333,0.17,2.0,2306.2,-3.01,0.0001,BTC 4H structure broken,2,-7.15,-5.91,0,price down + OI down: long liquidation/deleveraging,"1D downtrend, 4H below EMA50, too close to support, BTC supportive for short, RR2 >= 2, funding ok",,,,,,,
20260518_090230_LABUSDT_SHORT,2026-05-18T06:02:30.696068+00:00,LABUSDT,short,4.6776,5,4.6682448 - 4.700988,6.6815415,2.9,0.669717,0.89,2.0,81.5,-3.51,-0.0131,BTC 4H structure broken,2,-10.62,-11.34,0,price down + OI down: long liquidation/deleveraging,"RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok",,,,,,,
20260518_101911_XAUTUSDT_SHORT,2026-05-18T07:19:11.730053+00:00,XAUTUSDT,short,4538.2,11,4529.1236 - 4560.891,4731.4395,4477.1,4151.721,0.32,2.0,95.2,0.18,0.0017,BTC 4H structure broken,2,3.94,-3.17,1,price down + OI up: short confirmation,"1D downtrend, 4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",,,2.0,swing bullish,internal bearish CHoCH 19 bars ago,discount,"SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG"
20260518_101911_BILLUSDT_SHORT,2026-05-18T07:19:11.730053+00:00,BILLUSDT,short,0.13684,9,0.13656632 - 0.1375242,0.238185,0.12802,-0.06585,0.09,2.0,73.0,2.88,0.005,BTC 4H structure broken,2,8.76,-25.87,1,price down + OI up: short confirmation,"4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish internal CHoCH, SMC bearish FVG",yes,,3.0,internal bearish,internal bearish CHoCH 11 bars ago,equilibrium,"SMC bearish internal CHoCH, SMC bearish FVG"
20260518_101911_ZECUSDT_SHORT,2026-05-18T07:19:11.730053+00:00,ZECUSDT,short,527.55,8,526.4949 - 530.18775,572.1264,485.0,438.3972,0.95,2.0,185.8,2.56,0.0018,BTC 4H structure broken,2,-9.3,1.66,0,price up + OI down: short covering,"4H below EMA50, near resistance, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal BOS, SMC bullish FVG",,,0.0,swing bullish,internal bearish BOS 13 bars ago,equilibrium,"SMC bearish internal BOS, SMC bullish FVG"
20260518_101911_1000PEPEUSDT_SHORT,2026-05-18T07:19:11.730053+00:00,1000PEPEUSDT,short,0.003624,8,0.00361675 - 0.00364212,0.00428431,0.003538,0.00230337,0.13,2.0,104.9,-3.9,0.01,BTC 4H structure broken,2,13.04,-9.57,1,price down + OI up: short confirmation,"4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG",yes,,2.0,swing bearish,swing bearish CHoCH 2 bars ago,discount,"SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG"
20260518_101911_LABUSDT_SHORT,2026-05-18T07:19:11.730053+00:00,LABUSDT,short,4.7139,8,4.7044722 - 4.7374695,6.6815415,2.9,0.778617,0.92,2.0,82.3,-3.81,0.005,BTC 4H structure broken,2,-10.62,-11.38,0,price down + OI down: long liquidation/deleveraging,"RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC bearish FVG",,,3.0,swing bullish,internal bearish CHoCH 2 bars ago,equilibrium,"SMC bearish internal CHoCH, SMC bearish FVG"
